,FOM1,OFFSCORE,DEFSCORE,PFOM,SeedDiff,FTScore,ClassDiff,OPFOMDIF
700,0.31045045045,0.169752066116,0.169752066116,0.169752066116,-3.0,-0.4951385617,0.0,0.0547708971547
701,0.246153846154,0.05,0.508928571429,0.289152542373,4.0,-0.64958263773,0.0,0.00551957771839
702,0.657878787879,0.652894736842,0.652894736842,0.873643410853,-1.0,2.32044294865,0.0,0.101550640894
703,0.286428571429,0.95,0.05,0.133566433566,12.0,0.0503446287706,0.0,0.0242126733528
704,0.607397260274,0.05,0.95,0.532502483375,-11.0,-1.16361561667,0.0,0.0141238688324
705,0.494186046512,0.295223880597,0.95,0.590068040535,-3.0,-2.6583167683,0.0,0.0780140594507
706,0.174893617021,0.510344827586,0.510344827586,0.0553846153846,-1.0,-0.225608735671,0.0,-0.0192657079261
707,0.485294117647,0.95,0.369387755102,0.05,-7.0,-0.204772181278,-0.0,0.0237480872843
708,0.0656756756757,0.687826086957,0.687826086957,0.873643410853,1.0,1.19228836436,0.0,0.101513765398
709,0.107536231884,0.05,0.269612403101,0.295223880597,-1.0,-3.10489470526,0.0,0.035434269285
710,0.514285714286,0.776390977444,0.269612403101,0.471942715608,-8.0,-1.18822861798,-0.0,0.0427505568324
711,0.541367521368,0.511278195489,0.511278195489,0.472303480422,0.0,2.00465104595,0.0,-0.000812313908854
712,0.558987341772,0.344285714286,0.95,0.24696969697,-3.0,-3.49922155326,0.0,0.0475794736236
713,0.585925925926,0.503875968992,0.503875968992,0.595508035396,0.0,2.784875,0.0,0.138297699798
714,0.776390977444,0.05,0.95,0.834159949679,0.0,-0.0263463925788,-2.0,0.0289518171326
715,0.7,0.404646464646,0.95,0.814074074074,0.0,0.816800590039,0.0,-0.00887567269654
716,0.274545454545,0.95,0.95,0.95,0.0,3.79011134547,0.0,0.0667310985214
717,0.603529411765,0.559230769231,0.372727272727,0.95,-3.0,1.44449744463,-1.0,0.0493131799924
718,0.504201680672,0.05,0.493975903614,0.05,5.0,0.734707796222,2.0,0.0678179812985
719,0.290819672131,0.05,0.169752066116,0.05,15.0,2.01948462929,2.0,0.0599176373029
720,0.483050847458,0.05,0.489932885906,0.95,-7.0,0.123401534527,-1.0,0.09203522389
721,0.585925925926,0.95,0.95,0.95,-9.0,2.71864395537,-2.0,0.0239028265297
722,0.847628865979,0.562058823529,0.607777777778,0.801034316823,-13.0,3.08289420423,-2.0,-0.00482891679117
723,0.236140350877,0.05,0.05,0.05,9.0,1.58712055848,2.0,-0.110949555673
724,0.536129032258,0.95,0.619215686275,0.260674157303,7.0,0.0737910822692,1.0,-0.0720097840139
725,0.138709677419,0.748611111111,0.489795918367,0.748611111111,3.0,-1.48722222222,1.0,0.105776174247
726,0.05,0.05,0.514925373134,0.501109588841,-1.0,-0.273433319154,0.0,0.0215573848452
727,0.485915492958,0.05,0.05,0.292768327224,9.0,-0.174959268079,1.0,0.0111279742618
728,0.490797546012,0.95,0.95,0.95,7.0,1.89103240985,-2.0,0.0494519185021
729,0.95,0.95,0.95,0.721709946595,-11.0,1.26885078356,-1.0,-0.00401660288231
730,0.494186046512,0.709180327869,0.05,0.471208905389,3.0,-2.36049350135,0.0,0.0279731632139
731,0.899365079365,0.95,0.619215686275,0.95,-13.0,0.596051898509,0.0,0.00387577626456
732,0.05,0.05,0.05,0.104268663522,13.0,-2.22286615221,2.0,-0.000565645513159
733,0.635433070866,0.95,0.95,0.95,-15.0,-0.093995352385,-2.0,0.295437612503
734,0.75223880597,0.95,0.656231884058,0.784249713312,-5.0,0.680272108844,-1.0,0.144177029202
735,0.655211267606,0.95,0.95,0.272359742402,-11.0,0.877795031056,1.0,-0.00076873886113
736,0.604691358025,0.503649635036,0.503649635036,0.380535497732,-1.0,0.675571543435,1.0,0.159151409514
737,0.833571428571,0.95,0.95,0.837804515727,-11.0,2.29576690489,-2.0,0.052557791795
738,0.323087248322,0.05,0.05,0.154646219405,13.0,1.01746268657,2.0,-0.00845400725762
739,0.406666666667,0.05,0.05,0.05,1.0,-2.23015896672,1.0,-0.0911375700603
740,0.461751824818,0.493506493506,0.373053892216,0.127480916031,1.0,2.27436480475,2.0,0.0259545853236
741,0.416510067114,0.557441860465,0.65164556962,0.907741935484,-11.0,0.18516516094,-1.0,0.12984897218
742,0.50641025641,0.95,0.224444444444,0.933333333333,-5.0,-0.887085921234,-2.0,0.0426984291461
743,0.506578947368,0.604691358025,0.05,0.1575,7.0,0.138355415877,0.0,0.00739718984894
744,0.457477477477,0.05,0.490066225166,0.487235802979,-3.0,0.173120492195,0.0,-0.009814234167
745,0.137908496732,0.253947368421,0.253947368421,0.253947368421,-5.0,0.923909390334,0.0,-0.0220399903476
746,0.177037037037,0.05,0.673742331288,0.503667848025,9.0,0.161075046516,0.0,-0.0223887877728
747,0.317364341085,0.05,0.139642857143,0.155841584158,15.0,-1.7180270184,1.0,0.0482718050633
748,0.05,0.05,0.637190082645,0.05,15.0,-0.322946846895,0.0,-0.00887567269654
